,randomized,simple_reflex,model_based,size
277,1201475,265257,13999,100
278,995256,305861,14300,100
279,1343823,383133,14093,100
280,1084666,447240,13981,100
281,927478,450758,14242,100
282,944226,362010,14284,100
283,815143,278953,14007,100
284,740598,561822,13955,100
285,1052973,278553,14050,100
286,892472,336725,14051,100
287,1007115,854185,14078,100
288,1397937,310904,14097,100
289,1820137,259124,14166,100
290,829148,281174,14153,100
291,931328,287943,14059,100
292,1137036,200687,14157,100
293,1126941,339796,14175,100
294,916025,373769,13984,100
295,900144,298112,14089,100
296,1057478,305351,14122,100
297,975061,226246,14092,100
298,959020,334697,14085,100
299,1285704,431067,14072,100
